"filename", "language", "JavaScript", "CSS", "PHP", "comment", "blank", "total"
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Controllers\admin\AdminController.php", "PHP", 0, 0, 1, 0, 0, 1
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Controllers\admin\CategoryController.php", "PHP", 0, 0, 110, 15, 21, 146
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Controllers\admin\SectionController.php", "PHP", 0, 0, 30, 1, 6, 37
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Models\Category.php", "PHP", 0, 0, 17, 0, 4, 21
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\migrations\2024_02_01_162057_create_vendors.php", "PHP", 0, 0, -18, -10, -4, -32
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\migrations\2024_02_05_162955_create_categories_table.php", "PHP", 0, 0, 29, 10, 4, 43
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\seeders\AdminsTableSeeder.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\seeders\CategoryTableSeeder.php", "PHP", 0, 0, 17, 5, 5, 27
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 0, 1, 1, 2
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\css\bootstrap.css", "CSS", 0, 9050, 0, 7, 1204, 10261
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\css\bootstrap.min.css", "CSS", 0, -10904, 0, -2, -2, -10908
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\css\dataTables.bootstrap4.min.css", "CSS", 0, 332, 0, 0, 1, 333
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\css\dataTables.bootstrap5.min.css", "CSS", 0, -339, 0, -1, -1, -341
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\custom.js", "JavaScript", 36, 0, 0, 6, 1, 43
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\dataTables.bootstrap4.min.js", "JavaScript", 1, 0, 0, 3, 0, 4
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\dataTables.select.min.js", "JavaScript", -23, 0, 0, -11, -1, -35
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\resources\views\admin\categories\add_edit_category.blade.php", "PHP", 0, 0, 126, 0, 4, 130
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\resources\views\admin\categories\append_categories_level.blade.php", "PHP", 0, 0, 16, 0, 0, 16
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\resources\views\admin\categories\categories.blade.php", "PHP", 0, 0, 100, 0, 3, 103
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\resources\views\admin\layout\layout.blade.php", "PHP", 0, 0, 0, 0, 2, 2
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\resources\views\admin\sections\add_edit_section.blade.php", "PHP", 0, 0, 77, 0, 4, 81
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\resources\views\admin\sections\sections.blade.php", "PHP", 0, 0, 1, 0, 0, 1
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\routes\web.php", "PHP", 0, 0, 7, 2, 1, 10
"Total", "-", 14, -1861, 513, 26, 1254, -54